,id,tweet,subtask_a,subtask_b,subtask_c
2988,39250,  gun control answer,NOT,,
2989,57399,   the reason i ask liberals r totally oblivious good things hes donethey often r clueless cant even name  thing they repeat hear programs like the view amp liberal mediathey even researched thought own,NOT,,
2990,13689, can blame life destroyed trump cult children fbi investigation going federal fbi must afraid trump might get hit bus trump book ugliest names u call someone like lying trumpstard ,NOT,,
2991,34688, standlast i believe  asked vontae davis going play another game season  via ,NOT,,
2992,56374, sitting bus listening sensible thing im trying tear i miss father much hurts watch listen i wish i know fact us always forever best,NOT,,
2993,56313, i cant understand anyone wont want see docs open light you liberals think russian investigations big deal as american i truly believe subversion elected president justice department fbi far worse country,NOT,,
2994,12170,                 like gazelle fleeing antifa mob,NOT,,
2995,74376, i hope so that tana girl fucks anything lol,OFF,UNT,
2996,60343,     thank god ban conservatives social media,NOT,,
2997,60215,   because neither shown anything suggest worthy replacements in tevagas case undersized lock poor dummy half service severely hurts team goforward roache strung number games together without injury pay luke,NOT,,
2998,99729, love fat chowing cake cookies thats future liberals want,OFF,TIN,GRP
2999,66246, surprised look like females antifa,NOT,,
3000,32734,aint fun manager stick ass would make redwood selfconscious size,OFF,TIN,OTH
3001,98440,  ca inadequate gun control,OFF,TIN,IND
3002,41563, this entertaining nobody thought montel years picking fight him this incredible such feeble mind have,OFF,TIN,IND
3003,73784, they could literally give two fucks af  like ummm okay thanks ,OFF,UNT,
3004,16988,          hes wrong,NOT,,
3005,86306, can discussion sensible gun control laws im interested discussion sensible gun control laws hello hello is thing on,NOT,,
3006,14162,   i want gun control student person color keep armed taking gun lessons away nra know despicable evil are i wish simple answer guns gun control doesnt work checker board,NOT,,
3007,92072,    what i saw tc show nothing short amazing he willing take fight amp allow power conversation thats tc said slow down,NOT,,
3008,16101, dream on,NOT,,
3009,13310,         their old slogan make run for border doesnt get antifa that comrade,NOT,,
3010,24484, fuck yeah  go ,OFF,UNT,
3011,84203, she ordinary i watch cannot stand btw m what time,NOT,,
3012,14767, and trending comment can start rosie,NOT,,
3013,43772,  agreed iowa state able get times released it i tend think durable though,NOT,,
3014,26457,    difficult woman far left leaning bitch she place unbiased commentary platform get rid her,OFF,TIN,IND
3015,67802, there reports cuomo reached deep campaign war chest he definitely spending lot time around  million august tv ads alone nixon spent  period turn seems like itll higher usual another sign,NOT,,
3016,43322, antifa israels thug squad america,OFF,TIN,GRP
3017,73879, why liberals look like theyre eating sour grapes,NOT,,
3018,63032,  the point made support comes right party  its relevant gives clarity offering made good people london  know  vote like voting marine le pen youre welcome,NOT,,
3019,22699, but back weed,NOT,,
3020,24162,     truewhere captain bonepurs pussygrabber,NOT,,
3021,64950, yes is,NOT,,
3022,38116,  protect trumpie   increase presidential powers   kill roe v wade   limit voting rights   weaken gun control   deal religious liberty congress august body they lost moniker went whole hog  trumpism ,OFF,TIN,IND
3023,74054,willienelson laughs at maga conservatives theview suddenly outraged support democrats mog maga ,NOT,,
3024,52266, thats quack,NOT,,
3025,48405,   what exactly call gun control,NOT,,
3026,42833, between antifa claiming territory like gang beating vet american left cant stop shooting foot,NOT,,
3027,31480, republicans love say early talk common sense gun control events  really want people forget amnesia kick ignore jobs protect public gun control works rs procrastinate,OFF,TIN,IND
3028,40051,  ramos sounds like shitty ump,OFF,TIN,IND
3029,43269,  well start banishing accts promoting  fb gave  brandon  day zjail time im sure tomorrow applejacks too lets see many conservatives amp walkawaymarch ers shut downpoof fb begone,OFF,TIN,IND
3030,42226,  oh shit u went ,OFF,TIN,IND
3031,98465, disgusting,OFF,UNT,
3032,35353, for superman morally superior matter excluding maybe love interest  pure good nice yet still superior i see that  disappointed me ,NOT,,
3033,74744, cant take dish out joe snake hung neck live cnn feed,OFF,TIN,IND
3034,74806,      talks idea anonymous turns in general bla bla bla comes buddies making profit apply then claims fought antifa yet supports it what fucking joke,NOT,,
3035,16097,  we meet face face she speaking like much longer she horrid person somebody teach reap sow she find hard way she ugly inside fubar,OFF,TIN,IND
3036,42039,  mob mentality,NOT,,
3037,78319, oh i love much idea daughter family struggle childhood leukemia so happy hear healthy strong college athlete much love yours ,NOT,,
3038,81311, tbf nascar liberals actually quite good description,NOT,,
3039,16315,  i think significant havent moved ahead the difficulty liberals shoot become zealous environmental oversight this one seems legit the wild life fishing people opposed im sure don jrs ear and i want go visit,NOT,,
3040,76049, bono go away s sick,OFF,TIN,IND
3041,34682, shhh tell liberals,NOT,,
3042,21418, liberals live fantasy land ,NOT,,
3043,10583,gtthank you you also pretty kind ,NOT,,
3044,38269, go back n vietnam,NOT,,
3045,78637, hell nomaga ,NOT,,
3046,49396, really another one holy crap wow brought liberals,OFF,TIN,GRP
3047,94810, freaking casual fans say favorite,NOT,,
3048,99815, and football fan ,NOT,,
3049,93004, europeans morons electing people like,OFF,TIN,GRP
3050,83209,release kraken wwgwga maga ,NOT,,
3051,80333, i hope so liberals heads exploding im hoping,NOT,,
3052,12743, its funny youre claiming gun control help us yet youre apparently south side deemed chiraq lolchicago strictest gun laws yet highest gun violence,NOT,,
3053,44210,the law order president really hates law enforcement lol maga ,OFF,TIN,IND
3054,93628, bitter barack loves free press long band wagon,NOT,,
3055,93582,         dude sister rocks ashamed never go family shows little man,NOT,,
3056,12093,   i going ask thing dont know is,NOT,,
3057,28988,also i support antifa way using violence intimidation political message definition terrorism regardless someones beliefs incite violence people belief you,NOT,,
3058,12404, sweet lawd beautiful,NOT,,
3059,22940,   hopefully conservatives welcomed too,NOT,,
3060,98372, if survived obviously doesnt know anything gun control are sure lib,NOT,,
3061,25722, what mean chelsea kept hazard he bloody one chelsea key player best world right now and one big club europe what want more,NOT,,
3062,13380,  liberals defend islam yet know little nothing ideology as middle eastern christian i pay close attention muslim people to,NOT,,
3063,75563,     iam pretty sure th time i told all politics to the side not fault cale sexual predator jill committed stolen valor stealing someone else military pictures saying son i could care less antifa proud boys came ,NOT,,
3064,27701, and i meant gun control  lol oops ,NOT,,
3065,66826, congratulations  putting nfl toilet,OFF,TIN,IND
3066,54062, she drama queen pulled feel sorry card working momgive break,OFF,TIN,IND
3067,69586,     chicago strict gun control laws highest gun violence rate detroit owened unions bankrupt cali second highest welfare rate homeless capital developed world,OFF,TIN,IND
3068,25306,  you x trader i lol im screwed i tight stop ill let ride,OFF,TIN,IND
3069,96861, gawd help us,NOT,,
3070,82070, hes still around,NOT,,
3071,77142, hopeful someday meet classy gal i talk maga wwgwga have yet find having way much fun share  ,NOT,,
3072,27260,   antifa lol really stretching there hee hee hes going obstruction justice too,NOT,,
3073,59375, betoimfundedbynyandhollywoodleftistsbutpretendingtobeatexanorourke keeptexasred,NOT,,
3074,48012, time canadians let liberals trade deal two months vote liberal mp make red line it makes no sense trump able secure trade deals around world canada obvious anyone brain failure trudeau he failed,OFF,TIN,IND
3075,51949,yo think i could jump that gestures dead raccoon road me probably yo successful jumps raccoon bike im super happy kind dead inside like me,NOT,,
3076,73934, now thats i call antifa supersoldier,NOT,,
3077,24546, and i think australia gun control less firearm shootings,NOT,,
3078,97762,aint missing shit ,OFF,UNT,
3079,11325,  capitalism killed since ,NOT,,
3080,11850,   if think billionaires truly liberal fool they playing part public truly liberals homelessness would end you played like fiddle,NOT,,
3081,75499, thank much she great performer tottori prefectural residents take proud in,NOT,,
3082,52678,  man im glad i make yalls day i saying stupid shit fly i aint trying im dumb lmao ,OFF,UNT,
3083,10642,  keith talk antifa amp support ,NOT,,
3084,25145, he hurt one checked him,OFF,TIN,GRP
3085,80819, she gorgeous,NOT,,
3086,52341,     i listened come conclusionshe is a twitan ny times get money,NOT,,
3087,75289,   completely agree conservative government cut taxes lowest earners making tax fair increased tax receipts ,NOT,,
3088,50828, like cute,NOT,,
3089,37925,   these guys known diverting topics only he pure sanghi let bark,OFF,TIN,GRP
3090,17166, as one canadiani would prefer move somewhere else too many liberals already,NOT,,
3091,56845, shes vile amp hateful amp funny she needs stay news next  years none us remember terrible person is,NOT,,
3092,49493, the woman talks stupid becomes termlimits liberals,OFF,TIN,IND
3093,99363, come across wonderful  she also great things inclusion,NOT,,
3094,63849, and hillary  election,NOT,,
3095,85087, this ridiculousunbelievable  so fine young man dead stupid reason  come  gun control solution yall many innocent people got killed guns this stop,OFF,TIN,GRP
3096,26257,  you liberals never see genuine leader trying portrait didnt struggle qualifications son az ap wese bahut ethics aur morality ko promote krty hn ppp pe aa k sary liberals,NOT,,
3097,97508,twitter ceo says conservatives feel silenced heavily liberal company i wonder why maybe are we given examples everyday pretty much anything goes youre liberal much conservative  maga ,NOT,,
3098,53628, nope i wont trade much fun plus cant spell hope without,NOT,,
3099,65285, recourse this wrong many levels can sue them i wish way reinforce points mistreatment received liberals full hate discontent unfortunately us idiots ,OFF,TIN,GRP
3100,43009, hollywood packed pedophiles,OFF,TIN,GRP
3101,96191, exactly she want perjure since nothing paid actress,NOT,,
3102,29565,  should used  magnum make real statement and people like teach kids,OFF,TIN,GRP
3103,74592,   no conservatives not its smoken mirrors establishmnt dems inbred demon possessed amp controlled lucifer father lies sorosobamaclinton et al  juncture history reversepcism key amp rebuke all name jesus kag,NOT,,
3104,56041,  only remarry stop,NOT,,
3105,52026, conservatives believe persons color priori guilty crimes therefore poc denied rights extrajudicial killings conservative ever questions killing,OFF,TIN,GRP
3106,82725, he funny man he i suspect even really believe this,NOT,,
3107,19813, dont talk shit  laws,OFF,TIN,IND
3108,68918, holder perverted view law not surprising since democrat,OFF,TIN,OTH
3109,33445, is federal investigation group chance chinese a congressional aid please respond senator constituent wanting disclosure you accountable say do contribute form collusion obey law,NOT,,
3110,98197, lmaoo glad know one people i meaning,NOT,,
3111,62509, oh shit uhhh ao fic,OFF,UNT,
3112,50295, when learn people dont care think politics just read lines entertain us keep stupid pins fake tattoos ribbons home maga emmys,OFF,TIN,IND
3113,53338, beautiful,NOT,,
3114,76615, here alternative way look conservatives less successful following simple instruction application form,NOT,,
3115,14468,  just leave it theres point this the ones win war words raytas liberals dravidanaduvallahs secessionists,NOT,,
3116,74768,  thank  your bravery duly noted,NOT,,
3117,67908,  republicans make stand demand proofs allegations liberals country wasted much time investigating back back false allegations liberals it left us time investigate corruptions,NOT,,
3118,21422, can somebody please put back coffin,OFF,TIN,IND
3119,62905, but theyre still number one fake news network,OFF,TIN,OTH
3120,98827,   no not he scary hell thats is,NOT,,
3121,32524, fuck,OFF,TIN,IND
3122,78848,  or lower liberals retirement fund ideas,NOT,,
3123,22324,            here  year old daughters report  conservative well fluffywolf ,NOT,,
3124,78309,           antifa anti facsicm just jim jones preacher thats im saying,NOT,,
3125,37490, aw what thats devastating hope ok i love biter,NOT,,
3126,48660,  who ring leader brain dead sheep time turn back him,OFF,TIN,GRP
3127,75794, oh yeah im,NOT,,
3128,99216,    hypocrisy see called conservatives call supposed sexual deviancy every sexual political scandal recent memory involves republicans really homophobia roymoore kavanaugh jimjordan markfoley bobpackwood clarencethomas donaldtrump,OFF,TIN,GRP
3129,26022, boycott nfl amp nike ,NOT,,
3130,24802, he obama cant stand em,NOT,,
3131,85439, and are lol,NOT,,
3132,96256,      so desecrating graves best intentions wonder jeremy wants speaking wants jewish membership know exactly thinks them i reiterate absolute shit human offence ewa,NOT,,
3133,98942, attention  publicizing antifa target list account the list high profile names and many random trump supporters names twitter not suspended account please help report him check account lists ,NOT,,
3134,88615,the book makes trump look good amp makes socalled deep state  particularly mueller  look like pack partisan hacks woodward book proves  thing liberals fear trump isnampt breaking deep state is ,NOT,,
3135,73053,  she keeper,NOT,,
3136,83756,    you hit fucking elo reason im posting thee booter exposer shows cant believe everyone community,OFF,TIN,GRP
3137,80322,  trumps new position gun control starting look lot like nras  via ,NOT,,
3138,51884,   i sat levis commercial know support gun control stance,NOT,,
3139,46664, chuck old play games he going forward,NOT,,
3140,48511, trump im giving power back people liberals authoritarian trump im giving power back states liberals authoritarian dems we want control every aspect life liberals thats exactly need,NOT,,
3141,11455, he painter,NOT,,
3142,52086, happy birthday sweetie hope day awesome are,NOT,,
3143,86235,peoplesvote brexit stopbrexitsavebritain stopbrexit brexitshambles a good example intent we even goverment like paying taxes  ,NOT,,
3144,89484,   hes one types time hes senior partner law firm the issues prevent driving vehicle theyre simply annoying but i believe taking car next month,NOT,,
3145,62644,india cuts iranian oil imports ahead november deadline  tcot maga rednationrising,NOT,,
3146,60989, shut fuck upppp kliff im bigger gayer try shit,OFF,TIN,IND
3147,41059, votes democrats amp lets see how many murders conservatives justsaying ,OFF,TIN,GRP
3148,67258,           it never gets caymans but i want know gives boris right spunk m folly bridge wasnt built where money and relation people paid and abroad no lnvestigation iniated why,OFF,TIN,IND
3149,55432, sounds like fascist,OFF,UNT,
3150,12045, moron,NOT,,
3151,91340, btw heard antifa lately since soros ran without paying violent riots across us,NOT,,
3152,92513,                                                  lol same you awe hows feel want first time gimmie is new feeling you has mommy kept tit years dont know fend yourself,OFF,UNT,
3153,64196,      anonymous always resistance tacticidea it matter leading enemy since anon take political sides there anons support idea antifa dont but one speaks entirety anonymous,NOT,,
3154,61278,  you correct my old eyes seem work well anymore,NOT,,
3155,13720, josh slave leia,OFF,TIN,IND
3156,71448, have vote enough delay tactics this allegation he convicted,NOT,,
3157,38672,   that exactly liberals dems think people right its funny weve pitted really interests similar nuances im criminal defense attorney i fight every day protect bill rights,NOT,,
3158,39483, democrats laws ,NOT,,
3159,48096,  buhari among past leader what time people keep blame year pdp talking fix government doing,NOT,,
3160,74992, stop,NOT,,
3161,34571,alreadydebunked viral hoax tell decides meme debunked a potentially biased human thats who  facebook rosetta memes qanon maga ,OFF,TIN,IND
3162,11571, mcquaid wayyyyy expensive is,NOT,,
3163,35157, you get invited kh events active kingdom hearts community super duper mega fan youre extremely lucky embrace it,NOT,,
3164,60491, still spewing liesyou good enuf lick presidents boot straps deaths chicagou r liar manipulatorgo vack indonesia barry,OFF,TIN,IND
3165,40988,  he adorable i hope birthday wonderful,NOT,,
3166,46950,                     rtd thank boosting this,NOT,,
3167,51487, i think its stupid choice put planting flag there you intentionally saying fu could audiences clap cheer accomplishment nasa team countrys support not going see it,NOT,,
3168,30181, i assume mastermind,NOT,,
3169,46159, ya obama trade years ago trump not telling the truth how stupid could leaders be trump god bless trump maga kag  full linktrumps answer ,OFF,TIN,IND
3170,91365, is nigga really back dying hair times one comeback ,NOT,,
3171,61638, he bashing iraq war faced binary choice pretty proud supporting status quo vigorously i get either,NOT,,
3172,44637,  os thing antifa,NOT,,
3173,79023,  gun control unconstitutional leftist fake news traitors keep lying people thats enemies people,OFF,TIN,GRP
3174,24364, speaking fates babies i hate nina fates feh honestly i get bitter people added but reminds real life experience hits close home,NOT,,
3175,22102, must driving liberals crazy,OFF,TIN,GRP
3176,14171, jacob stand garden saw blushed hard amd trys look away oh holy god  he wisperd he sexy good looking ,NOT,,
3177,40990,     describing myself  fictional characters  oren ishii  princess aura  laura palmer tagging  friends     ,NOT,,
3178,78181,            sounds like plan,NOT,,
3179,19346, in  conservatives cut annual funding build social housing bn today theresa may announced extra bn build social housing spread next  years so  itll bn cut since  instead bn i despair,NOT,,
3180,57462, antifa never attacked voters way thats full lie you informational diet thinking cotton candy vegetable you might want reflect that,NOT,,
3181,56191, what bothers conservatives unison attack women seek justice,NOT,,
3182,37203,  same kamau bell spoke antifa helped incite riot year ago,NOT,,
3183,47242, f democrats slimy bastards,OFF,TIN,OTH
3184,82139,    flake shld end search relevancy hes rino filled w hatred potus despicable behavior,OFF,TIN,IND
3185,15286, she demented,OFF,TIN,IND
3186,30638, hear you but think were lost sense defeated like adrift offtrack cant find way the answer guns general teachers guns lets start electing leaders support reasonable gun control go there ,NOT,,
3187,55270,  she indeed cute,NOT,,
3188,73730,   duel citizen ok,NOT,,
3189,14928, she fine,NOT,,
3190,98805,       this i little time liberals democrats rather allow democratic process deliberately attempt subvert get want why anyone believe claims kavanaugh face this ,NOT,,
3191,12434,  theres something wrong tv liberals audio simply reverts to blah blah blah blah blah blah blah ive looked troubleshooting theres fix its source audio amp tv circuitry cant convert insane bs real words ,NOT,,
3192,35575,qanda there  women commons   result thursdays general election this takes female representation commons new high overall  mps women  for labour figure   conservatives bbc ,NOT,,
3193,17618, who cares she broke his home shot him she one that needs held fully accountable actions,NOT,,
3194,73875, did hear mccain beyond well,NOT,,
3195,31845, i read whole thread guys thinks boxing media social media sure mess ppls head ,OFF,TIN,IND
3196,96149,   i know liberals dont like research like facts if listened anything cnn know this,NOT,,
3197,90375, this makes proud resident city atlanta good see places georgia still character integrity whats right amidst state never seem get part together,NOT,,
3198,44951,please retweet trumpnation trumptrain maga kag drainingthedeepstateswamp ,NOT,,
3199,80016,  that never want deal leftdemocrats they become lunatics trumpderangementsyndrome,OFF,TIN,IND
3200,82002, a rich snow ,NOT,,
3201,21116, they promoted amendment lower voting age  they pushed gun control efforts gun free zones give criminals edge law abiding citizens,NOT,,
3202,81443,active shooter middleton wi multiple police agencies respond maga trumptrain   keepamericagreat ,NOT,,
3203,43212, ball court,OFF,TIN,IND
3204,50593,   i know naive those people make small  trump supporters do liberals support terrorist groups antifa,OFF,TIN,IND
3205,87636,   why female dislike conservatives,NOT,,
3206,52082,   i never forget levels racist liberals went clarence thomas liberals worst people ever,OFF,TIN,GRP
3207,69277, fuck happened,OFF,TIN,OTH
3208,48653,  what new ideas speech laws gun control killing babies thinking entitled free healthcare rich ppls money bc exis,OFF,UNT,
3209,14919,  two years to hand her homework inand its still last minute and unprepared  party of business cant even cobble a contract proposal together in  months would never survive in a real world business   ,NOT,,
3210,99915,    i know they said gay tho and liberals mean conservatives sounds like upset as matters matter go lengths deny theyre gay theres straight couples let gay,OFF,TIN,GRP
3211,49358,  jail too kind pedovore  prosecution agsessions church getting away pedo crimes what hell holding tentacle wth pedogatenews,OFF,TIN,OTH
3212,21467,   you claim read academic piece i linked to it spells pretty clear do wonder genre race writing popular upperuppermiddle class white liberals,NOT,,
3213,31668,  pope char compares pope francis false prophet bingo ,OFF,TIN,IND
3214,82721, enough said  ,NOT,,
3215,85160, my guess lot unflattering facts come dr ford days come as father daughterif one roughed point claiming she could hid emotional state parents,NOT,,
3216,95333, mean also like wrong setting idk random,NOT,,
3217,35139,   hes clueless disgusting looks every thing know,OFF,TIN,IND
3218,92405,  gun control crowd wants gun sales  filed succeed getting gunbroker app shut down as gunbroker sales id guess   guns shipped ffl ffl kinda like wanting gun safety getting ranges shut down all control,NOT,,
3219,72954, are kidding liberals good show,NOT,,
3220,51110, fake ass emoji,OFF,UNT,
3221,57228,   haha yeah funny communists liberals destroying usa want usa like venezuela china north korea perhaps move perfect country instead desperately trying destroy usa founding fathers fought died  freedom shed blood ungrateful communists,OFF,TIN,OTH
3222,97281, what ad hominem he paid e cigarettes industry in universe people tend neutral gets paycheck get anything cited not everybody knows truth people motivations welcome planet earth money talks,NOT,,
3223,12748,    hypocrisymuch    thats enemy people fakenews go political opponents hide crimes liberals bigstuff ,OFF,TIN,IND
3224,75966, why kavanaugh woman restingbitchface sitting behind every day i think helping case,NOT,,
3225,36701, then i see like lust girl long blond hair bare midriff micromini realize  years older could great grandmother today  people wonder i love legs i show i grew with ,OFF,TIN,IND
3226,76283,  thank you they do it excited all and i love  i feel  him he rockstar ,NOT,,
3227,94287, first thing comes mind another liberal hit job this damage liberals libtards actual victims sexual assault they inciting doubt everyones minds democrats champion woman minoritiesthey covet power ,NOT,,
3228,44391, someone please call gun control bengals cant stop shooting selfies foot ,OFF,TIN,GRP
3229,58295,kavanaugh reportedly wh right now  ,NOT,,
3230,44782,  possive dumb ass,NOT,,
3231,66166, dig frankie save yourself,NOT,,
3232,71900,  she lost got outplayed she disgusting behavior,OFF,TIN,IND
3233,97704, what all  them what terrorists antifa farrakhans hateful racist thugs blm criminals black panthers those groups no place either,OFF,TIN,GRP
3234,35092,  always victim,NOT,,
3235,34943,       joe singing old liberal bullshit song misrepresenting facts usual,OFF,TIN,IND
3236,74793, you smart ,NOT,,
3237,33566,  bro i randomly tried dns shit worked first time wtf,OFF,TIN,IND
3238,71656, this conservatives think genius looks like lmao,OFF,TIN,IND
3239,43584, just didnt look like mannerisms exhibited glad cf,NOT,,
3240,20550,  the left plan popular liberals their campaign platform free stuff everybody time everyone welcomed times come america  we support too where funds support plans the left doesnt knowor care,NOT,,
3241,93909, girl power,NOT,,
3242,52181, as chuck sat trial allegations he read twitter feeds did because supposedly spoke therapist means nothing you could told therapist dreamt ever know testify providing even shred evidence,NOT,,
3243,93589, and butt fur thinks know,OFF,TIN,IND
3244,58294, ignorant fool become ag i forgot ignorant obama its current occupier white house learn ignorant idiot he president united states if think president leave country go hell,OFF,TIN,IND
3245,83184,  yes did and editorial is joe q editor xmen no isnt he editor chief he boss editors sooo responsible i arguing stupid,OFF,TIN,IND
3246,51563, expect you are,NOT,,
3247,85044, i think get decent minutes win champions league rotation coming affect hes much higher pecking order herrera mctomminay he essentially th choice  man midfield so first option resting even like today last week,NOT,,
3248,98517, askally please tell something help mom home broken leg cause hospital broken leg ,OFF,TIN,OTH
3249,45834,  or part fraud pulled together,OFF,TIN,OTH
3250,68634, what happened wokeisis,NOT,,
3251,55636, the battle cry nova scotia girl maga world follow wwgwga redwave walkaway trump let freedom ring worldwide qanon ,NOT,,
3252,55512,  live strange times really strange people i never figured hirono parents kamakazee pilots she side,NOT,,
3253,54700,  maxine waters inciting violence conservatives thank goodness minions switch blade wasnt working couldnt get flip open stab conservative house candidate,NOT,,
3254,51898,       im reality based results oriented kind guy turned out informs opinion idealistic dreams  liberals progressive conservatives regressive within varying degrees relative location politics local,NOT,,
3255,75507,    vote butt right office dianefeinstein part problem america part solution her old ideas clarencethomas tricks work time votered kag confirmkavanaugh confirmcoachk maga,OFF,TIN,GRP
3256,25510, you alone will say prayers you hang there,NOT,,
3257,95662, half phillies if fan georgia sports know lead safe,NOT,,
3258,79644, please help out she distressed ,NOT,,
3259,92522, beloved x,NOT,,
3260,63146,   hahahaha  how lucky sor witness din kakulitan live spot  inggit sir  and laugh pain ang peg ni capt barber  pushawardsmaywards,NOT,,
3261,60741,  good luck lad,NOT,,
3262,94258, becoming what the reason what happened ,NOT,,
3263,98739,democrats ask party fighting keep leaders power the party leaders care vote person conservatives elect people represent us elect someone else walkaway  take note,NOT,,
3264,35022,gop personal responsibility he drunk boys boys she drunk slut republicans conservatives kavanaugh,OFF,TIN,IND
3265,15556,on friday krav maga world lost one best krzysztof szczepanski kris lost battle skin cancer without giving fight life the world worse place without sorely missed rip brother oss,NOT,,
3266,62844, damn right if think different part problem country thank god president puts america first instead putting illigal aliens ahead americans ,OFF,TIN,OTH
3267,31261, oyela please i yesterday you yet credit account oh,NOT,,
3268,56638, bitch life flashing eyes,OFF,TIN,IND
3269,67691, bitter liberals funny keep posting anger so fun read,NOT,,
3270,53263, liberals sexualize everything,NOT,,
3271,85090,     maybe need ban knives what think ,NOT,,
3272,94456,  hes trashing along even allies,OFF,TIN,IND
3273,28864,  i hope so conservatives must go vote,NOT,,
3274,46342, wherever journey try best appreciate even want be every season serves purpose   putrajaya ,NOT,,
3275,82908,  bring back coal amp asbestos maga,NOT,,
3276,87348, assuming comedianthought funny great sense humor,NOT,,
3277,50896,   let give something wife cant p cum join live x,NOT,,
3278,97210,   people employ fascist tactics fascists thats antifa does do want start posting videos antifa riots,OFF,TIN,GRP
3279,77403,  we concerns democrats disgusting behavior disrespect country constitution united states violation oath citizens constitution,OFF,TIN,GRP
3280,15267, perhaps believes revolutionaries time start country people need protection runaway government like one liberals proposing actions would take away rights,NOT,,
3281,40574, oh fuck forgot poopy diaper pants know know,OFF,TIN,IND
3282,98246, boy really panicking hide i wat know  i dont recall republicans acting like obama put two liberals court,NOT,,
3283,88808,trump chips away liberal us appeals court majorities  maga sure fill constitutional conservatives,NOT,,
3284,77181, and hypocrite flies private jet around world,OFF,TIN,IND
3285,99042, it would make sense big character  stays way i really hope not lol making cringe movie ,NOT,,
3286,48438, he absolute worse period that all,OFF,TIN,IND
3287,86117, you man gregg,NOT,,
3288,77021,no family maga care theyre apart populace get distracted pop culture completely they zero idea going world i tell amp even care im lion amongst lambs ,OFF,TIN,GRP
3289,37710,     i remember back big sit in democrats they tried push  gun control laws republicans responded putting forth  their own democrats voted everything republicans put forward instead accepting compromise voted against,NOT,,
3290,72045, liberals liberal,NOT,,
3291,39756,      pedophilia worst evil,NOT,,
3292,96944, destined another bargain bin  dollar fire starter,NOT,,
3293,55268, i saw morningi hope ok bless heart thank you,NOT,,
3294,10592,   are prochoice are pro  aca are reasonable gun control where find stand issues,NOT,,
3295,24967,  homer losing boner petty resemblance even shoving face okay,OFF,TIN,IND
3296,33118, keemstar said paying wanted sever rust popin i said pay ooks come rust,OFF,TIN,OTH
3297,21098,                                                  i guess didnt see  ad replaced db glad things,NOT,,
3298,36170, abortion always available money take care problem a matter conscience seems matter convenient gotourpiece party a conscience clearly absent comes gun control,NOT,,
3299,17308, empty headed ginger hammer,NOT,,
3300,84652, why ted cruz quote supporters tweets does anything original andor prodcutive say does nefarious connections    russia muellersmountain endthegop endthenra,NOT,,
3301,26460,treasonousgoverment california tries new tack gun violence bullet control ,OFF,UNT,
3302,65334,  you far mark times you seem completely detached masses,NOT,,
3303,67982, thats new,NOT,,
3304,29038, contribute maximum capacity  translation vote guys criminal record like occasionally wear dresses support disrespect sacrifices represented flag,NOT,,
3305,81929,  she stupid scares us average americans makes decisions behalf,OFF,TIN,IND
3306,41706,  bitch shut upcyberpunk announced way back  getting revealed get facts straight,OFF,TIN,IND
3307,31062, down liberals,OFF,TIN,OTH
3308,10176, this democrat party throws panic they want violence trumps america quite successful i suggest little antifa kids theredo it it regrettable immediately,NOT,,
3309,59609, just hes love doesnt mean is they dont need go there itd feel like another lf situation,NOT,,
3310,97816,  did anyone visit maxine waters discreet watched poverty people anything last past  years power,NOT,,
3311,66974, love maga,NOT,,
3312,55325,  funny need gun control fanatics think want shooting war where going go get free obama guns,NOT,,
3313,62392, somebody gotta blow new wave niggas listen,NOT,,
3314,74224, im th yet i still want join antifa,NOT,,
3315,78007, here,NOT,,
3316,73494, a woman assisted rape child never see freedom period,NOT,,
3317,69417, trudeau liberals incompetent handle it,OFF,TIN,GRP
3318,17787, real goal to make everyone wisconsin dumb is ,OFF,TIN,IND
3319,90456,  yepsays thing everyone hates amp warned antifa twins that,NOT,,
3320,32325, they still making bread,NOT,,
3321,50253, better now prescott booty meat smh,NOT,,
3322,39157, oh wait read wrong hfjdhd dont know infinity war huh,NOT,,
3323,64899,  it started money realized future dreams business could now come true seeing ass short list,NOT,,
3324,29281, hey nut job were democracy you actually awake high school,NOT,,
3325,38529, well research dairy gluten allergies major problems mental health anxiety depression bi polar schizophrenia its tough diet sick feeling like way worth,NOT,,
3326,76567, world warcraft character named limn,NOT,,
3327,81442,liberals ruin everything ,NOT,,
3328,43257, haley thanx know brighten shitty day,NOT,,
3329,95856, the ironic thing closely aligned far right they even agreeing you look thread asshole posted thing iq defense fuck shit,OFF,TIN,IND
3330,85228, said florence big wet i fear get grabbed president,NOT,,
3331,63615,  no way john lewis apologize anyone hero ,NOT,,
3332,48596,  may cameramen trump supporter  have checked standing rock so lmao  fakenewscnn,NOT,,
3333,47577, please add me thank maga,NOT,,
3334,24154, bro laughing face almost pissing pants standing beside like wtf mind ur business,OFF,UNT,
3335,92812,   liberals wow even try you,NOT,,
3336,19428,  times  i dog lap i get rowdy gets scared i hurt trys kiss mealso ham camera comes like pictureslet themhe photo bombs whenever possible,NOT,,
3337,51231, smack shit outta ,OFF,TIN,IND
3338,47129, can remove eric holder,NOT,,
3339,11599, rubberstamp  calls  conservatives  republicans left sycophant party coup to keep house  laughable we want nancy pelosi speaker regurgitates  fbr resistance   via ,NOT,,
